CustomerID,Annual Income (k$),Spending Score (1-100),Age,Gender
1,83,86,50,Female
2,82,69,37,Female
3,45,68,32,Female
4,77,54,40,Female
5,28,3,34,Male
6,95,39,60,Male
7,109,74,39,Male
8,133,82,34,Female
9,55,56,45,Male
10,50,71,57,Male
11,83,3,32,Male
12,101,47,66,Female
13,139,51,42,Female
14,18,90,52,Female
15,44,32,67,Female
16,47,23,40,Male
17,46,36,28,Male
18,72,18,56,Male
19,124,56,18,Female
20,18,65,41,Female
21,116,81,68,Male
22,92,98,39,Male
23,91,8,53,Male
24,99,25,45,Female
25,29,31,29,Male
26,108,25,34,Female
27,46,83,45,Male
28,79,14,23,Female
29,99,3,39,Female
30,90,87,39,Male
31,55,97,61,Female
32,64,23,24,Female
33,74,34,61,Female
34,20,51,39,Female
35,105,53,51,Male
36,27,100,46,Male
37,72,41,33,Female
38,96,2,66,Male
39,25,43,29,Male
40,139,56,19,Male
41,62,52,57,Male
42,16,52,50,Male
43,97,93,64,Male
44,84,81,41,Female
45,95,26,18,Female
46,108,36,19,Male
47,74,67,40,Male
48,118,42,30,Female
49,61,43,65,Male
50,83,17,24,Male
51,34,26,63,Male
52,92,75,29,Male
53,47,85,24,Male
54,102,79,32,Male
55,115,31,25,Female
56,122,14,38,Female
57,131,16,35,Male
58,30,40,45,Female
59,32,52,45,Female
60,130,90,18,Male
61,62,90,24,Male
62,18,1,26,Female
63,50,71,28,Male
64,119,30,22,Male
65,59,20,34,Male
66,24,56,46,Male
67,105,4,34,Male
68,39,34,35,Male
69,59,56,42,Male
70,15,28,46,Female
71,90,60,35,Male
72,70,47,29,Female
73,123,80,39,Female
74,56,19,19,Female
75,40,6,43,Female
76,35,53,66,Male
77,40,26,38,Male
78,71,71,23,Male
79,25,10,54,Female
80,65,58,24,Female
81,121,99,28,Female
82,110,10,25,Male
83,94,31,63,Male
84,126,85,69,Female
85,112,54,47,Female
86,96,18,50,Female
87,122,22,51,Male
88,30,77,49,Male
89,117,87,46,Male
90,51,37,69,Female
91,106,48,56,Male
92,129,79,22,Female
93,77,18,38,Male
94,26,21,68,Male
95,61,78,38,Male
96,65,19,28,Female
97,132,78,63,Female
98,132,50,50,Female
99,86,100,47,Female
100,133,4,39,Male
101,69,95,24,Male
102,66,23,37,Female
103,119,4,40,Male
104,98,73,66,Male
105,80,54,33,Female
106,72,84,25,Female
107,103,11,40,Male
108,109,9,69,Female
109,76,57,43,Female
110,18,89,37,Female
111,27,41,52,Female
112,33,80,51,Male
113,72,91,33,Male
114,91,87,68,Female
115,115,51,48,Male
116,44,70,20,Male
117,113,53,39,Female
118,98,68,65,Male
119,21,57,38,Female
120,58,53,47,Male
121,52,44,49,Male
122,125,66,54,Female
123,130,76,63,Female
124,117,92,25,Male
125,81,62,44,Male
126,76,11,45,Male
127,53,59,25,Male
128,111,32,53,Female
129,25,3,24,Male
130,48,8,41,Male
131,31,60,35,Male
132,76,95,26,Male
133,52,51,60,Female
134,39,45,30,Male
135,62,9,31,Female
136,122,68,62,Male
137,84,6,63,Male
138,117,85,19,Female
139,129,82,32,Male
140,127,100,54,Male
141,58,29,58,Male
142,124,17,69,Male
143,128,30,46,Female
144,134,80,18,Female
145,58,22,63,Male
146,43,89,26,Female
147,88,16,24,Female
148,131,5,53,Female
149,127,22,49,Male
150,86,76,21,Female
151,33,61,26,Male
152,67,36,48,Female
153,104,66,31,Female
154,85,65,53,Male
155,58,56,39,Male
156,57,52,48,Female
157,22,11,42,Male
158,51,26,36,Female
159,98,53,35,Female
160,45,14,54,Male
161,139,48,44,Male
162,25,12,48,Male
163,88,79,48,Male
164,77,11,28,Male
165,119,10,65,Male
166,125,64,47,Female
167,82,23,55,Male
168,93,36,63,Female
169,102,32,66,Female
170,80,22,52,Female
171,38,77,58,Female
172,68,70,42,Male
173,45,24,56,Female
174,73,69,34,Male
