Id,LotArea,YearBuilt,OverallQual,GrLivArea,BedroomAbvGr,Neighborhood,SalePrice
1,16226,1978,5,2362,4,Crawfor,268027
2,14421,1932,7,3836,4,Crawfor,262791
3,18808,1973,2,2331,2,NoRidge,135282
4,19329,1933,7,640,1,NoRidge,329372
5,14983,1914,10,3568,2,CollgCr,295194
6,9305,1931,2,3194,5,Veenker,316044
7,13184,1933,4,3031,5,Veenker,219070
8,10226,1916,7,3898,5,Crawfor,363464
9,13694,1902,7,1267,2,Veenker,192551
10,16806,2016,7,3680,4,NoRidge,333962
11,9278,1963,6,1390,1,Veenker,129199
12,11597,1949,7,3900,4,Crawfor,144070
13,3775,2014,7,1250,3,CollgCr,239093
14,15521,1927,1,2471,4,NoRidge,248998
15,11327,1949,8,3283,4,NoRidge,313713
16,10815,2004,5,865,5,NoRidge,161120
17,12051,1977,1,826,3,Veenker,356701
18,6663,1949,5,3489,2,CollgCr,172127
19,13165,1931,5,805,3,Crawfor,241622
20,15668,1904,1,2687,1,Veenker,376861
21,8944,1910,10,3789,1,NoRidge,243396
22,5229,1919,3,2690,3,Crawfor,291844
23,9576,1996,4,2235,5,Crawfor,368932
24,6375,1978,5,2018,3,NoRidge,391360
25,9356,1953,9,2769,4,NoRidge,229798
26,13656,1996,8,2544,1,Veenker,201750
27,4927,1919,8,2306,3,CollgCr,126956
28,15703,1925,3,1122,4,CollgCr,242728
29,6818,1948,9,2853,2,Veenker,372235
30,18209,2012,9,3115,1,Crawfor,225619
31,15451,1975,5,3010,1,CollgCr,178482
32,7633,2004,6,855,5,CollgCr,96477
33,12574,1930,1,2989,4,Crawfor,192509
34,4882,2004,8,3081,2,NoRidge,140478
35,4695,1908,10,1223,2,CollgCr,392082
36,19252,1928,5,3486,1,Crawfor,239396
37,16641,1964,6,2381,5,CollgCr,106575
38,5625,1906,5,2206,1,Crawfor,82907
39,7805,2005,1,3057,4,NoRidge,349252
40,6360,2006,7,2333,2,NoRidge,376697
41,9717,1966,8,2452,2,Crawfor,319421
42,7952,1937,10,1661,2,Crawfor,102106
43,8577,1912,10,3754,5,NoRidge,93417
44,11999,1976,5,3896,1,Crawfor,127313
45,6213,1966,10,1043,2,Veenker,315386
46,18008,1993,6,3092,2,NoRidge,320209
47,15370,1974,7,679,2,Crawfor,344868
48,15929,1915,7,1854,1,NoRidge,92957
49,5881,1914,10,3897,5,Crawfor,112092
50,15038,1996,8,1194,2,NoRidge,366094
51,17216,1919,2,1881,3,CollgCr,375773
52,5978,2015,1,1346,2,CollgCr,306738
53,15771,1913,5,3075,5,CollgCr,96052
54,9080,1989,6,2177,2,Crawfor,83331
55,16388,2019,7,2616,2,Crawfor,78899
56,11132,1954,5,3804,2,CollgCr,295228
57,16637,1906,6,2371,2,CollgCr,347628
58,5506,2007,10,3096,1,NoRidge,274753
59,9614,1923,4,932,4,NoRidge,149114
60,7648,1964,5,1331,1,Crawfor,317498
61,7222,2021,6,3819,2,Veenker,80104
62,8241,1991,5,3522,2,Veenker,341587
63,9501,1905,10,2832,2,CollgCr,363240
64,5163,2000,10,1885,4,CollgCr,304239
65,15020,1919,6,1279,3,NoRidge,358949
66,12354,1992,5,3495,5,Veenker,259299
67,17097,1976,6,3270,2,Crawfor,219243
68,14985,1935,2,1421,5,Crawfor,169637
69,5533,1952,5,2605,1,Veenker,373381
70,4188,1914,3,2703,3,CollgCr,297073
71,10187,2021,2,2223,4,Crawfor,124768
72,11179,1929,1,3750,3,CollgCr,385370
73,7084,1937,6,1021,5,Veenker,80129
74,16297,1961,1,1476,2,NoRidge,259757
75,12886,1982,7,923,1,Crawfor,124784
76,15715,1962,5,2955,4,NoRidge,285877
77,4853,1962,4,2789,1,CollgCr,200301
78,16856,1971,8,3956,4,CollgCr,208623
79,6503,2005,6,2443,4,Veenker,288324
80,10620,1948,8,1112,5,Veenker,317081
81,10469,2002,8,2132,3,CollgCr,189214
82,16949,1996,1,900,5,NoRidge,399206
83,7706,2018,3,2881,1,CollgCr,229480
84,7092,2012,6,2892,3,Crawfor,114532
85,8773,1998,10,3516,1,Crawfor,62175
86,9133,1930,2,1755,4,Crawfor,128817
87,6088,1995,2,1654,4,CollgCr,294971
88,5998,1990,10,842,5,Veenker,243408
89,6932,1935,10,2011,4,Crawfor,174862
90,10947,1983,2,2216,2,Veenker,223667
91,8837,1931,5,3165,1,Crawfor,344962
92,9665,1964,7,3162,5,CollgCr,254333
93,15223,1998,2,1076,3,CollgCr,79752
94,7095,1923,4,1569,1,Crawfor,76685
95,18468,1941,4,2339,5,Crawfor,223897
96,15780,1997,7,1739,5,CollgCr,197453
97,5969,1955,4,686,3,NoRidge,349170
98,8335,2018,5,3475,4,CollgCr,258212
99,6120,1900,3,3086,1,NoRidge,317333
100,7637,1988,8,2368,1,Crawfor,258965
101,9213,2000,2,1679,2,NoRidge,177394
102,5225,2012,3,3465,4,NoRidge,283493
103,3245,1919,3,719,1,Veenker,271285
104,10459,2021,10,2117,1,NoRidge,304873
105,14916,1948,10,3323,4,CollgCr,124341
106,8150,1943,6,3840,4,Veenker,278126
107,17627,1943,2,1454,4,CollgCr,157059
108,9277,1978,8,2812,4,Veenker,328682
109,18313,1981,5,1244,5,NoRidge,331498
110,7011,1958,9,994,4,Veenker,272418
111,12168,1908,4,1800,3,CollgCr,381877
112,15973,2021,10,3609,5,Veenker,242752
113,4003,1927,9,2944,2,NoRidge,68546
114,18810,1911,3,2263,1,Crawfor,266106
