PassengerId,Survived,Pclass,Age,Fare,Sex,Embarked
1,0,2,38.7,236.87,male,
2,1,3,61.2,133.42,female,
3,1,1,72.4,27.36,female,C
4,0,3,57.9,243.34,female,
5,0,2,77.1,479.87,male,C
6,1,1,62.8,328.0,female,Q
7,0,1,69.5,250.28,male,S
8,1,2,10.0,59.79,female,Q
9,0,1,58.9,129.96,male,S
10,0,1,35.8,150.91,male,
11,1,2,44.7,383.58,female,C
12,1,3,52.7,438.97,male,C
13,1,1,77.6,451.31,female,
14,1,1,78.8,492.36,female,S
15,1,1,23.8,491.27,male,S
16,1,2,59.0,476.73,male,Q
17,1,3,60.2,40.55,female,Q
18,0,3,28.4,73.21,male,S
19,1,3,10.8,155.71,male,S
20,0,3,4.2,278.68,male,C
21,1,1,62.4,53.0,male,S
22,0,1,39.7,423.67,female,S
23,0,2,78.9,310.29,male,C
24,1,3,37.7,273.47,female,Q
25,1,3,78.3,86.83,male,
26,1,1,33.5,130.36,female,S
27,0,1,63.7,84.35,male,C
28,1,1,7.7,426.71,male,C
29,1,1,44.9,294.19,female,S
30,0,2,64.4,368.89,male,Q
31,0,2,74.1,151.54,male,
32,0,2,66.0,188.77,female,S
33,0,1,3.9,205.4,male,
34,1,3,30.4,381.21,male,C
35,1,2,4.8,387.31,male,Q
36,0,3,9.6,107.37,female,C
37,1,3,,471.06,female,S
38,1,1,57.3,64.72,female,C
39,0,1,,448.58,female,Q
40,1,3,69.4,54.7,male,Q
41,0,2,59.4,135.95,male,C
42,1,1,64.3,424.01,male,C
43,1,2,4.9,93.85,male,S
44,0,2,19.5,209.72,male,
45,0,3,50.1,227.68,female,C
46,1,1,68.8,126.4,female,Q
47,0,3,1.4,356.57,female,C
48,1,3,41.7,426.41,female,
49,1,1,54.5,437.91,female,Q
50,1,1,,172.96,male,
51,1,2,32.7,267.77,female,C
52,0,1,71.8,127.96,female,C
53,0,1,54.1,126.17,male,S
54,0,2,19.8,84.82,male,S
55,0,3,68.4,470.31,female,
56,0,3,28.5,444.55,male,
57,1,1,68.4,389.79,female,
58,0,3,24.6,261.24,female,S
59,1,1,47.6,247.85,male,Q
60,1,3,32.4,267.22,male,Q
61,1,3,22.7,270.6,male,C
62,1,3,71.0,220.11,male,Q
63,0,1,15.8,70.22,male,Q
64,1,3,,67.2,female,C
65,0,1,28.0,476.36,male,C
66,0,2,57.7,243.61,male,S
67,1,2,64.8,476.84,male,Q
68,0,1,79.9,85.97,female,
69,0,1,24.4,279.44,male,Q
70,0,3,33.2,107.82,male,
71,1,2,11.8,130.33,female,S
72,0,2,46.4,19.88,male,C
73,0,2,79.8,63.88,male,C
74,0,2,56.4,458.84,male,S
75,1,3,48.0,164.16,male,S
76,0,1,32.0,306.02,male,Q
77,0,3,73.3,235.18,female,S
78,0,3,40.3,203.22,male,
79,1,2,11.6,268.28,male,Q
80,1,1,29.9,97.68,male,C
81,1,1,6.3,494.36,female,Q
82,0,3,17.0,410.06,female,
83,0,3,2.4,372.1,male,
84,1,1,36.8,237.04,male,
85,1,1,51.1,80.67,male,
86,1,1,28.1,460.73,male,C
87,0,1,34.2,173.99,male,Q
88,0,3,76.8,29.8,male,C
89,1,3,60.4,174.49,female,C
90,1,1,43.7,398.26,male,
91,0,3,23.5,313.24,male,
92,1,1,71.9,376.67,male,C
93,1,2,19.6,397.85,female,S
94,0,2,26.7,109.92,female,S
95,1,3,,462.27,male,C
96,0,3,42.8,221.8,male,
97,0,1,59.6,321.31,female,
98,1,1,47.7,6.14,female,S
99,1,1,52.6,496.72,male,S
100,0,1,24.7,144.04,female,Q
101,1,3,20.1,35.72,female,
102,0,3,26.5,231.84,male,Q
103,1,1,13.3,68.87,female,
104,0,3,70.1,80.4,male,C
105,1,2,23.4,317.98,male,C
106,1,2,45.4,199.5,male,
107,1,2,63.6,461.32,male,Q
108,1,1,62.9,162.98,female,Q
109,0,3,35.6,364.46,male,
110,1,1,38.6,233.24,male,C
111,0,1,79.6,331.68,male,S
112,1,1,54.3,301.85,female,Q
113,1,1,,239.03,female,C
114,0,1,72.3,475.28,female,
115,1,1,,174.64,male,C
116,1,3,15.6,92.73,female,C
117,0,3,45.4,340.66,female,S
118,0,1,9.0,423.77,female,
119,0,1,52.6,24.93,male,C
120,0,2,76.5,227.57,female,S
121,0,3,41.5,446.78,male,S
122,1,3,,376.06,male,
123,1,3,,495.94,male,C
124,0,2,,268.05,male,
125,1,2,9.1,331.7,male,S
126,1,1,4.2,154.73,male,
127,0,3,20.4,474.03,male,Q
128,1,3,6.2,186.34,female,
129,1,1,,370.56,male,S
130,1,3,41.8,204.55,female,C
131,1,1,25.7,283.1,female,
132,1,3,5.0,361.29,female,
133,0,3,9.8,256.92,female,Q
134,1,1,31.4,454.01,male,S
135,1,2,,212.55,female,Q
136,0,1,56.2,325.3,female,S
137,1,2,17.4,174.47,male,
138,0,3,24.9,207.04,male,
139,0,1,32.1,222.82,female,C
